SSDSE-A-2026,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
,,îNìx,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2023,2023,2024,2024,2020,2020,2020,2020,2020,2020,2020,2020,2023,2023,2024,2024,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2019,2024,2022,2022,2022,2022,2022,2022,2022,2022,2022,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2023,2023,2021,2021,2021,2023,2023,2023,2022,2022,2022,2023
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,ïv65çŒà»è„ÅAç»60çŒà»è„ÇÃïvïwÇÃÇ›ÇÃê¢ë—êî,65çŒà»è„ê¢ë—àıÇÃíPì∆ê¢ë—êî,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêîÅiñØâcÅj,éñã∆èäêîÅiñØâcÅjÅiî_ã∆ÅAó—ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiãôã∆Åj,éñã∆èäêîÅiñØâcÅjÅiçzã∆ÅAçÃêŒã∆ÅAçªóòçÃéÊã∆Åj,éñã∆èäêîÅiñØâcÅjÅiåöê›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiêªë¢ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅiñØâcÅjÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâ^óAã∆ÅAóXï÷ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâµîÑã∆ÅAè¨îÑã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã‡óZã∆ÅAï€åØã∆Åj,éñã∆èäêîÅiñØâcÅjÅiïsìÆéYã∆ÅAï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiäwèpå§ãÜÅAêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅièhîëã∆ÅAà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅAå‚äyã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã≥àÁÅAäwèKéxâáã∆Åj,éñã∆èäêîÅiñØâcÅjÅià„ó√ÅAïüéÉÅj,éñã∆èäêîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiñØâcÅj,è]ã∆é“êîÅiñØâcÅjÅiî_ã∆ÅAó—ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiãôã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiçzã∆ÅAçÃêŒã∆ÅAçªóòçÃéÊã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiåöê›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiêªë¢ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâ^óAã∆ÅAóXï÷ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâµîÑã∆ÅAè¨îÑã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã‡óZã∆ÅAï€åØã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiïsìÆéYã∆ÅAï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiäwèpå§ãÜÅAêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièhîëã∆ÅAà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅAå‚äyã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã≥àÁÅAäwèKéxâáã∆Åj,è]ã∆é“êîÅiñØâcÅjÅià„ó√ÅAïüéÉÅj,è]ã∆é“êîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,àÍî çsê≠ïîñÂêEàıêîÅiésãÊí¨ë∫Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,ã`ñ±ã≥àÁäwçZêî,ã`ñ±ã≥àÁäwçZã≥àıêî,ã`ñ±ã≥àÁäwçZëOä˙â€íˆéôì∂êî,ã`ñ±ã≥àÁäwçZå„ä˙â€íˆê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊ1éüéYã∆èAã∆é“êî,ëÊ2éüéYã∆èAã∆é“êî,ëÊ3éüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R01100,ñkäCìπ,éDñyés,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,10352,23843,110212,99469,969161,967372,1916478,496691,422160,195527,110890,121789,7908,3558,112126,43879,72730,99,2,11,6908,2342,73,1690,1665,17071,1402,7262,4596,8789,5780,2169,7606,299,4966,872779,904,16,92,64664,36948,3822,36201,43590,189631,23892,34628,36358,76435,31747,32966,146115,6746,108024,347,280,7598,94.9,2.9,1227839677,347606361,1215838738,498625431,150236428,151160055,1126457,86,10594,201,5341,87431,106,3114,45295,1,21,55,45,51,40838,845953,445866,400087,41269,23450,17819,576925,192964,383961,3983,115924,697967,1,13,1969912,5808,10370,7354,348,172,1433,1183,6977,2115,5561,297
R01202,ñkäCìπ,îüäŸés,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,947,4466,7225,7774,121793,121455,240342,62606,50901,30158,16719,22337,734,376,67787,12281,11362,21,29,2,1091,500,9,113,258,2909,242,798,433,1576,1143,334,1014,93,797,105260,151,369,12,8333,8295,329,1875,6280,22940,2958,2716,1873,11801,4592,3532,19196,1170,8838,146,132,1276,95.0,5.1,150163194,32031925,146551705,67578588,13408434,12728520,0,11,774,40,726,8835,22,433,5234,1,20,44,19,14,5974,109183,57529,51654,5592,3269,2323,86816,28978,57838,3202,17553,84172,1,1,241184,21610,2163,1256,41,26,197,121,825,183,696,25
R01203,ñkäCìπ,è¨íMés,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,348,2122,2664,3135,52817,52615,106082,28930,20657,15757,8822,11095,245,132,24387,8532,5063,6,7,0,379,375,6,28,193,1457,77,188,135,721,434,116,523,36,382,47404,47,97,0,2410,7911,217,98,3165,9837,737,766,625,4112,2173,1273,9744,484,3708,54,58,719,92.5,4.7,66320792,13845729,64823425,26806182,7243541,4222301,0,11,452,17,330,3550,13,227,2077,0,0,0,0,7,2665,44785,23313,21472,2850,1689,1161,46101,16224,29877,619,7572,35719,0,1,105661,1933,1097,616,17,11,76,74,290,102,331,21
R01204,ñkäCìπ,àÆêÏés,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1565,5165,8717,9477,156195,155625,315003,86206,61540,39798,24072,24821,1068,557,74766,35018,14016,98,0,3,1370,668,13,118,356,3442,306,1058,525,1792,1287,328,1653,81,918,140107,1066,0,12,11599,10992,635,1070,7957,31626,3484,3380,3312,10989,5257,5191,28939,1590,13008,843,273,1544,93.3,8.5,192603474,40481178,188381368,83330601,18251531,14468248,75,26,1719,52,1199,13572,27,640,7436,0,0,0,0,13,8093,146321,77721,68600,6921,4052,2869,118878,41158,77720,3761,24253,114977,25,5,321469,7341,2409,1503,67,33,225,170,1339,254,853,55
R01205,ñkäCìπ,é∫óñés,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,343,1441,2460,3137,41766,41660,79836,20845,18890,10730,6481,7410,237,121,8101,4331,3633,1,0,0,405,204,5,31,120,874,90,243,118,531,295,74,289,24,329,38897,36,0,0,3987,6620,158,355,2550,6998,827,892,1827,2743,1027,1190,5792,335,3560,12,8,343,95.2,9.9,47139489,13616569,46144771,18376432,6551609,2919195,0,8,620,9,226,2859,8,144,1558,0,0,0,0,6,2415,34733,20173,14560,1661,1128,533,33134,12133,21001,324,9155,24690,0,1,76941,1741,621,447,13,6,50,39,260,53,201,10
R01206,ñkäCìπ,ã˙òHés,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,644,2628,4589,5883,80349,80095,159067,42053,33385,19578,11513,13290,464,322,136326,31165,7775,35,19,11,659,328,22,51,281,1773,188,688,270,1221,734,211,647,45,592,66727,337,218,215,5450,5342,405,368,5996,13821,2132,1911,1429,6439,2881,1762,10961,452,6608,129,18,900,94.1,10.7,101629191,21270591,99630262,41382972,9913301,8451283,123214,24,1459,25,576,5708,15,316,3275,2,57,319,274,8,3679,69198,37549,31649,2878,1686,1192,56593,20000,36593,1511,12561,53046,1,5,158287,8189,1224,1030,24,15,78,82,379,109,379,16
R01207,ñkäCìπ,ë—çLés,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,902,2171,6208,6773,80175,79933,160130,42007,33848,17351,10492,11065,668,296,61934,38130,8475,96,1,6,852,305,25,79,193,2116,200,517,373,1289,777,228,756,44,618,78389,1248,3,32,6963,5346,335,697,4249,18262,2228,2035,2463,7805,2871,1591,14690,290,7281,580,27,799,89.6,8.3,91151075,23153735,89097684,36291573,8293457,8277714,0,11,1065,25,607,6975,13,328,3768,1,55,332,160,8,4817,74554,40187,34367,2668,1541,1127,44613,15031,29582,3616,12675,54217,0,1,162852,2792,1431,1123,35,17,111,93,532,142,431,29
R01208,ñkäCìπ,ñkå©és,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,549,1789,3378,3854,55188,55024,111882,29872,21801,13824,8404,7846,355,214,142741,42794,5164,142,19,5,472,234,18,45,142,1333,111,343,168,658,437,104,474,41,418,49241,1185,261,43,4770,3235,244,699,2642,11528,1476,1203,948,4137,1976,1473,8285,553,4583,713,126,844,96.2,11.1,78459451,14940353,76923679,26090909,11492560,5554736,5,7,432,22,471,4683,13,277,2551,1,21,29,19,8,2663,49777,26904,22873,1832,1081,751,35130,12303,22827,3219,8212,36556,8,8,112041,2922,928,532,26,12,65,49,248,73,219,13
R01209,ñkäCìπ,ó[í£és,7334,3381,3953,7247,3373,3874,411,199,212,3093,1609,1484,3828,1571,2257,2262,818,1444,87,10,177,129,232,3807,3790,6902,1811,1766,1216,735,1095,19,8,76307,11466,346,4,0,0,23,17,2,1,9,88,4,7,4,39,41,4,35,14,54,2241,36,0,0,213,394,14,1,113,374,20,12,16,209,92,32,435,102,178,111,18,88,123.5,67.4,13570482,870855,13239601,2378107,1003516,717145,35013,0,0,1,19,129,1,18,85,0,0,0,0,1,59,3085,1687,1398,242,157,85,3455,1265,2190,518,678,1880,0,1,6531,2763,84,29,0,0,5,4,8,7,17,1
R01210,ñkäCìπ,ä‚å©ëÚés,79306,37105,42201,79031,36970,42061,7859,3961,3898,42391,21004,21387,28880,12062,16818,15113,5691,9422,196,312,1317,2208,2535,35584,35476,76126,20315,12581,10037,5774,6056,203,82,48102,32071,3048,115,0,0,294,120,6,31,77,694,53,248,128,350,288,61,314,25,244,28556,852,0,0,2711,2771,148,132,1706,6660,560,649,633,2227,1181,431,5135,407,2353,854,166,405,97.9,10.2,49897096,8608396,49378412,15935326,7090487,4186451,0,5,484,14,286,3041,9,179,1762,0,0,0,0,4,1889,34045,18427,15618,1636,1037,599,29663,10443,19220,2695,6014,24329,0,2,75818,2872,545,286,12,5,60,46,174,60,134,16
R01211,ñkäCìπ,ñ‘ëñés,35759,18060,17699,35429,17962,17467,3731,1932,1799,20405,11042,9363,11259,4818,6441,5595,2198,3397,321,143,481,1314,1706,17253,17193,34107,8505,7618,3977,2386,2383,116,62,47084,22983,1649,40,21,2,149,91,2,14,38,375,31,145,61,214,148,28,130,22,138,14426,579,239,5,1087,1635,74,179,642,2794,312,371,408,1586,544,415,2136,406,1014,305,18,256,91.7,16.7,27440345,5044113,27253830,6480756,3578578,2749069,0,2,125,9,167,1316,6,102,779,0,0,0,0,2,822,16723,9393,7330,578,363,215,12233,4938,7295,2195,2555,11448,1,1,32980,1547,304,155,7,3,18,14,52,15,57,2
R01212,ñkäCìπ,óØñGés,20114,9649,10465,19940,9610,10330,1711,885,826,9981,5234,4747,7425,3002,4423,3944,1467,2477,134,83,360,707,1024,9816,9784,19120,4915,4121,2540,1559,1708,56,25,29781,3291,1041,6,2,2,97,33,4,8,40,275,25,56,35,136,100,12,86,10,114,7759,49,18,13,971,775,52,60,595,1794,230,219,168,525,366,67,1096,198,563,61,19,164,92.5,9.4,16249208,2264106,15764347,4196048,2255082,1090221,0,2,100,5,95,642,2,43,371,0,0,0,0,1,436,9601,5469,4132,453,283,170,7079,2347,4732,315,1896,7344,1,1,18405,701,219,112,5,2,16,11,43,11,46,2
R01213,ñkäCìπ,ìœè¨ñqés,170113,83522,86591,168873,82739,86134,20426,10593,9833,96847,49324,47523,50022,21637,28385,23635,9242,14393,722,891,2199,5292,5375,80130,79962,164852,44385,31627,18268,11128,11075,633,357,56166,23137,6856,14,3,5,861,323,26,34,459,1605,130,316,243,860,649,193,577,27,531,76995,463,18,92,7402,10974,765,471,8409,15068,1438,1515,1471,5826,3607,1656,10215,865,6740,34,19,784,88.1,7.1,85930720,28806904,84213211,36923878,9166096,6846274,0,7,827,22,600,8046,14,357,4320,1,20,40,24,7,3624,76046,43267,32779,2924,1714,1210,50281,16776,33505,1457,19227,52507,1,1,167143,253,1109,677,27,10,93,73,337,105,303,16
R01214,ñkäCìπ,ítì‡és,33563,16651,16912,33083,16509,16574,3484,1806,1678,18920,10016,8904,11025,4739,6286,5458,2105,3353,435,128,475,1068,1495,16060,15944,32492,8397,6492,4004,2303,2454,93,48,76142,32075,1719,17,34,3,167,111,6,13,47,406,47,105,49,252,162,25,95,22,158,13861,143,285,28,1698,1764,76,128,946,3029,376,271,298,1259,609,237,1203,414,1097,135,4,216,91.0,10.3,29563644,4703186,29188834,6398954,3378002,2853372,9896,4,177,10,151,1268,6,91,658,0,0,0,0,2,729,16459,9610,6849,831,525,306,10760,3610,7150,1407,3525,11265,0,1,31150,506,276,203,5,3,16,10,49,12,53,5
R01215,ñkäCìπ,î¸âSés,20413,9565,10848,20343,9527,10816,1539,813,726,10169,5143,5026,8642,3575,5067,4739,1786,2953,44,42,430,428,626,9434,9359,19238,5004,3617,2842,1665,2122,47,29,27769,15755,890,42,0,4,108,57,3,4,32,184,14,62,13,99,85,20,62,14,87,7148,197,0,36,871,780,27,28,501,1130,93,136,128,550,362,175,1420,290,424,486,74,207,93.2,11.6,19531985,2011019,19107822,4928658,2934131,1808337,0,2,84,2,50,551,2,35,318,0,0,0,0,2,420,9257,5086,4171,358,233,125,8632,3111,5521,1204,1927,5948,4,1,19078,2794,160,77,2,3,11,13,43,18,33,4
R01216,ñkäCìπ,à∞ï és,12555,5762,6793,12536,5758,6778,845,435,410,5705,2854,2851,5995,2464,3531,3412,1304,2108,17,32,323,260,349,6055,6021,11914,3377,2241,2047,1258,1439,22,15,86504,14122,563,22,0,2,43,37,2,2,10,125,13,21,4,71,67,11,50,12,71,4222,230,0,46,306,1115,13,2,172,724,54,35,15,223,227,57,618,80,305,203,41,156,90.9,5.3,12653233,1393156,12428853,3253074,1995247,835585,0,1,85,2,38,293,1,19,177,0,0,0,0,1,119,5308,2863,2445,313,203,110,5682,2054,3628,547,1443,3292,0,1,11404,1222,106,61,1,2,4,8,12,9,23,1
R01217,ñkäCìπ,ç]ï és,121056,57523,63533,119589,56702,62887,13400,6786,6614,69555,34012,35543,36783,15876,20907,18112,7027,11085,635,575,1484,4289,4029,53977,53869,117451,32535,18549,14241,8373,6686,232,161,18738,16819,3257,43,0,0,388,148,5,23,103,716,38,196,116,326,311,172,456,19,197,33682,510,0,0,2555,3758,72,717,2341,7453,350,590,667,2356,1302,2509,6181,352,1969,304,31,508,89.8,5.1,54640855,12922186,53269100,22038505,5984533,4888249,0,5,588,17,431,5842,9,262,3481,0,0,0,0,5,3672,53400,28888,24512,2506,1551,955,42623,15420,27203,1480,9256,40708,3,4,118776,1076,574,267,22,5,69,64,149,60,183,16
R01218,ñkäCìπ,ê‘ïΩés,9698,4388,5310,9631,4355,5276,603,299,304,4280,2139,2141,4669,1878,2791,2624,979,1645,67,30,241,184,281,4494,4463,8623,2307,1831,1420,860,1131,13,11,12988,3727,393,8,0,1,40,31,0,1,14,101,7,7,5,43,50,2,36,8,39,3949,74,0,12,412,1047,0,2,240,488,45,26,16,132,312,4,937,39,163,68,11,109,94.4,12.2,11569581,821836,11125146,2696165,1746181,734982,0,1,21,1,32,219,1,19,145,0,0,0,0,0,0,4045,2163,1882,215,143,72,4683,1707,2976,182,1066,2784,2,1,8806,1372,90,36,1,2,3,4,23,6,22,2
