response_id,grade,ease_of_use,clarity,note
1,2,3,2,教材用シミュレーション
2,3,4,1,教材用シミュレーション
3,1,4,4,教材用シミュレーション
4,2,5,4,教材用シミュレーション
5,3,2,3,教材用シミュレーション
6,1,4,4,教材用シミュレーション
7,2,4,2,教材用シミュレーション
8,3,3,4,教材用シミュレーション
9,1,5,5,教材用シミュレーション
10,2,3,4,教材用シミュレーション
11,3,5,4,教材用シミュレーション
12,1,4,4,教材用シミュレーション
13,2,3,2,教材用シミュレーション
14,3,4,3,教材用シミュレーション
15,1,4,3,教材用シミュレーション
16,2,3,4,教材用シミュレーション
17,3,3,3,教材用シミュレーション
18,1,4,3,教材用シミュレーション
19,2,3,4,教材用シミュレーション
20,3,5,3,教材用シミュレーション
21,1,5,4,教材用シミュレーション
22,2,1,3,教材用シミュレーション
23,3,3,4,教材用シミュレーション
24,1,4,4,教材用シミュレーション
25,2,4,3,教材用シミュレーション
26,3,3,2,教材用シミュレーション
27,1,3,3,教材用シミュレーション
28,2,4,3,教材用シミュレーション
29,3,4,4,教材用シミュレーション
30,1,5,4,教材用シミュレーション
31,2,4,4,教材用シミュレーション
32,3,4,3,教材用シミュレーション
33,1,5,5,教材用シミュレーション
34,2,5,3,教材用シミュレーション
35,3,4,4,教材用シミュレーション
36,1,4,4,教材用シミュレーション
37,2,4,3,教材用シミュレーション
38,3,5,4,教材用シミュレーション
39,1,4,4,教材用シミュレーション
40,2,4,4,教材用シミュレーション
41,3,4,2,教材用シミュレーション
42,1,4,2,教材用シミュレーション
43,2,4,2,教材用シミュレーション
44,3,4,4,教材用シミュレーション
45,1,4,3,教材用シミュレーション
46,2,4,2,教材用シミュレーション
47,3,3,3,教材用シミュレーション
48,1,4,3,教材用シミュレーション
49,2,3,4,教材用シミュレーション
50,3,3,2,教材用シミュレーション
51,1,4,3,教材用シミュレーション
52,2,5,4,教材用シミュレーション
53,3,4,4,教材用シミュレーション
54,1,3,3,教材用シミュレーション
55,2,2,5,教材用シミュレーション
56,3,3,3,教材用シミュレーション
57,1,3,3,教材用シミュレーション
58,2,3,2,教材用シミュレーション
59,3,3,2,教材用シミュレーション
60,1,3,3,教材用シミュレーション
